Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,2608.6563215910214,2609.2571131768505,2605.8735306777858,2607.9594515145704,2607.9594515145704,3150185
2015-01-02,2601.9749703333946,2604.307063362221,2601.0943356855705,2603.7592244535285,2603.7592244535285,1167146
2015-01-05,2601.7914443451964,2602.3897083393385,2600.8824275502006,2601.3698000617264,2601.3698000617264,1883925
2015-01-06,2605.8855516981657,2606.9604578397852,2605.5544918060186,2605.521842079773,2605.521842079773,1116292
2015-01-07,2598.3192829976847,2599.4293449662155,2595.332024011424,2598.6701506909703,2598.6701506909703,1693305
2015-01-08,2591.259262636101,2591.5291127575383,2590.05790379995,2591.872632215302,2591.872632215302,3819707
2015-01-09,2589.7178947515886,2590.738525963117,2588.827248952828,2589.592037328034,2589.592037328034,4065649
2015-01-12,2597.627484243298,2598.6010591838194,2596.9655391454476,2598.1177954513687,2598.1177954513687,3728986
2015-01-13,2596.0162551307963,2596.4290300805433,2592.507905703346,2595.2094069394816,2595.2094069394816,4544314
2015-01-14,2592.592006739271,2593.1729415854015,2589.8907371709092,2593.0174736869735,2593.0174736869735,4563886
2015-01-15,2587.2644771770406,2588.83082638606,2585.902205402619,2587.9112594322555,2587.9112594322555,2738141
2015-01-16,2591.9556879316897,2594.302600465984,2590.1085851167572,2590.7322817277836,2590.7322817277836,4825680
2015-01-19,2594.402261328732,2594.6584419327714,2593.0697194899417,2594.640704310661,2594.640704310661,4334909
2015-01-20,2590.2150258677752,2591.0918461473634,2586.9505518441665,2591.006557628356,2591.006557628356,2252227
2015-01-21,2601.3942524524837,2602.0100967238445,2598.0255699356667,2600.770202327737,2600.770202327737,4974835
2015-01-22,2602.988747837995,2603.787495122682,2602.767409423678,2601.5392582805625,2601.5392582805625,2363250
2015-01-23,2605.3153811671887,2605.421181709414,2603.908934492574,2606.052639994251,2606.052639994251,4279274
2015-01-26,2611.355028084955,2613.0138976161234,2609.0348116386576,2610.634815515942,2610.634815515942,1381533
2015-01-27,2604.3135390854413,2605.016131130287,2601.539496168579,2603.8322405689264,2603.8322405689264,2206764
2015-01-28,2604.353098353886,2605.0102974488987,2601.384013226071,2601.8100968006397,2601.8100968006397,1748828
2015-01-29,2600.255121134254,2602.471686757744,2598.903760787554,2600.7536606677795,2600.7536606677795,2713758
2015-01-30,2600.1046557983664,2601.6585239611127,2596.632034971861,2599.758617285964,2599.758617285964,4319278
2015-02-02,2602.8103004633876,2603.2479348237093,2602.16468576642,2601.537527770688,2601.537527770688,1359960
2015-02-03,2600.982209970868,2602.3710877616877,2600.9051101091295,2600.837498342211,2600.837498342211,1906854
2015-02-04,2591.67057018589,2592.232187015181,2590.208975256271,2592.4761396288964,2592.4761396288964,4303889
2015-02-05,2594.1822721728604,2594.8829307710166,2592.4950741333278,2596.3486911278383,2596.3486911278383,1329523
2015-02-06,2594.15525827356,2596.7033287008494,2594.079358255434,2595.027486454559,2595.027486454559,2721694
2015-02-09,2591.422040360729,2591.4481502598255,2590.9587251160474,2592.497665687845,2592.497665687845,4677128
2015-02-10,2598.3488154529314,2599.4771059142313,2597.2915465098986,2596.7394728286586,2596.7394728286586,4024091
2015-02-11,2600.647149680533,2604.4854837434077,2600.456702024001,2599.954359667395,2599.954359667395,4544776
2015-02-12,2602.306369127759,2603.435903034063,2600.841682451853,2603.086924582333,2603.086924582333,2182382
2015-02-13,2589.7539964249836,2593.9231433008317,2588.348351341781,2591.7482457875412,2591.7482457875412,1367230
2015-02-16,2598.051081792408,2601.308079219982,2595.701536546201,2599.553320639989,2599.553320639989,2442597
2015-02-17,2598.2115868826886,2599.4200617236143,2592.9507070572704,2598.4352367203237,2598.4352367203237,4102209
2015-02-18,2602.3864971908342,2604.501510101223,2600.3253420128726,2601.21917419592,2601.21917419592,2370181
2015-02-19,2597.7368811535957,2598.173006396102,2597.2529822681367,2597.5482800730333,2597.5482800730333,4800083
2015-02-20,2592.632996840141,2593.3303504141622,2591.6618410901565,2592.1639363392865,2592.1639363392865,2217654
2015-02-23,2588.6906301471868,2590.0820285818527,2587.2355823577377,2589.1756604803804,2589.1756604803804,2240159
2015-02-24,2574.7774790090575,2575.638616295106,2574.437553090723,2574.460149196587,2574.460149196587,3062272
2015-02-25,2574.290811438727,2576.4529141862704,2573.4529641042036,2574.5035984745978,2574.5035984745978,4713375
2015-02-26,2571.9235793073817,2574.7101893068425,2570.4165917808964,2571.259404279126,2571.259404279126,3635897
2015-02-27,2571.9820535587555,2573.311746477051,2571.8617542376505,2570.3727663468158,2570.3727663468158,3381527
2015-03-02,2570.142972347757,2573.569379936202,2566.472995310614,2570.5461784733343,2570.5461784733343,3512229
2015-03-03,2563.846486767449,2567.022699588829,2561.1706594303173,2563.807391133602,2563.807391133602,4947573
2015-03-04,2558.449827041726,2559.308750027511,2557.7344634344227,2557.7677162539894,2557.7677162539894,2819546
2015-03-05,2553.5046872034136,2553.8594512713175,2553.122418170398,2553.355715075109,2553.355715075109,2451776
2015-03-06,2559.1723898638256,2561.9619968921465,2557.408632760249,2557.3216089709927,2557.3216089709927,3050792
2015-03-09,2561.8716998671052,2567.5094650591914,2559.659276614455,2560.61436845443,2560.61436845443,4709382
2015-03-10,2551.1265635369227,2551.5199329593365,2549.3907756368253,2551.954288281935,2551.954288281935,1401484
2015-03-11,2549.749197277387,2551.505263659121,2546.5687154867533,2548.837142408547,2548.837142408547,1353925
2015-03-12,2547.2705939877355,2548.068206060141,2546.7339478191984,2547.2901312621125,2547.2901312621125,2931755
2015-03-13,2541.9422981829516,2542.5136687176637,2541.7790827178637,2542.3513268530064,2542.3513268530064,2139090
2015-03-16,2552.7423057767037,2553.855738179099,2552.014569556679,2553.931152673972,2553.931152673972,4263196
2015-03-17,2553.751490457763,2556.182933133743,2552.470023294907,2554.4040493167336,2554.4040493167336,1174583
2015-03-18,2557.301724746053,2561.1600433338176,2556.5286826393944,2556.755207541798,2556.755207541798,1094558
2015-03-19,2563.963421263497,2564.5433370774344,2560.395923082074,2563.1504639502887,2563.1504639502887,1364557
2015-03-20,2558.6126203891217,2559.029300740767,2555.060704037806,2558.852680184477,2558.852680184477,2507773
2015-03-23,2569.375523567199,2572.3016881604826,2565.335959780848,2569.138524471224,2569.138524471224,4159708
2015-03-24,2561.4324587180263,2561.8866914734604,2560.519590559583,2562.314879322407,2562.314879322407,1890936
2015-03-25,2562.5385783587694,2562.815636172299,2562.2158680345747,2563.841081283325,2563.841081283325,3210256
2015-03-26,2568.019439865244,2568.897346966611,2567.970708292088,2568.2893820625136,2568.2893820625136,2106608
2015-03-27,2568.3071235485895,2569.264354565548,2567.039091196499,2567.3661398695613,2567.3661398695613,1085365
2015-03-30,2565.3971642952606,2567.623406241783,2562.640152265251,2563.7683777982793,2563.7683777982793,2066998
2015-03-31,2553.9511959988713,2554.657107303559,2551.7177166188712,2554.131809048947,2554.131809048947,1257707
2015-04-01,2544.367473460674,2545.83419954055,2543.777469502836,2541.5286656085955,2541.5286656085955,1211712
2015-04-02,2545.9700366444185,2546.1907174440207,2542.5577216835954,2546.306265304641,2546.306265304641,3917980
2015-04-03,2547.020352859221,2548.691633426594,2545.146034123158,2547.354904962054,2547.354904962054,3276911
2015-04-06,2551.2602352887884,2552.0849735971983,2549.6754725540163,2551.2754480279814,2551.2754480279814,1624824
2015-04-07,2548.324797780592,2548.761651426256,2547.6683732428673,2548.3672488692823,2548.3672488692823,4693164
2015-04-08,2551.588021166551,2554.4225286792584,2550.8477842885854,2552.2243454998234,2552.2243454998234,4413852
2015-04-09,2558.275131967958,2558.559949373903,2556.734645519505,2556.778715174573,2556.778715174573,1225023
2015-04-10,2560.8456858093864,2562.054430704162,2559.501850916899,2560.639899935848,2560.639899935848,2085833
2015-04-13,2554.6008333855684,2555.8441942382815,2554.4410065405823,2553.7853524704265,2553.7853524704265,2337023
2015-04-14,2552.869153924845,2555.818319506635,2549.9555618879986,2553.1144638967157,2553.1144638967157,1982026
2015-04-15,2555.9153634579243,2556.1834880278593,2551.4836405784636,2556.6218050565885,2556.6218050565885,3153436
2015-04-16,2552.1469194725273,2554.1384998001554,2552.016943580261,2551.654083851244,2551.654083851244,3257837
2015-04-17,2545.8933963547297,2546.439956109638,2543.955094162162,2546.44813253171,2546.44813253171,2119197
